"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 31 15:50:20 CST 2022","Sun Jul 31 15:50:20 CST 2022","366","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-CART-WAP]",""
"passed","Sun Jul 31 15:50:18 CST 2022","Sun Jul 31 15:50:18 CST 2022","221","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-BUY_NOW-PC]",""
"passed","Sun Jul 31 15:50:20 CST 2022","Sun Jul 31 15:50:21 CST 2022","454","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-CART-REACT]",""
"passed","Sun Jul 31 15:50:18 CST 2022","Sun Jul 31 15:50:18 CST 2022","97","testcases.buyer","test_001_buy_now_api","TestBuyNowApi","","","test_buy_now_params[num为0-sku_id3-num3-expect_statuscode3-""004""-购买数量必须大于0]",""
"passed","Sun Jul 31 15:50:19 CST 2022","Sun Jul 31 15:50:20 CST 2022","482","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-CART-PC]",""
"passed","Sun Jul 31 15:50:21 CST 2022","Sun Jul 31 15:50:21 CST 2022","367","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-CART-MINI]",""
"passed","Sun Jul 31 15:50:19 CST 2022","Sun Jul 31 15:50:19 CST 2022","245","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-BUY_NOW-MINI]",""
"passed","Sun Jul 31 15:50:18 CST 2022","Sun Jul 31 15:50:19 CST 2022","199","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-BUY_NOW-NATIVE]",""
"passed","Sun Jul 31 15:50:19 CST 2022","Sun Jul 31 15:50:19 CST 2022","216","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-BUY_NOW-REACT]",""
"passed","Sun Jul 31 15:50:18 CST 2022","Sun Jul 31 15:50:18 CST 2022","220","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-BUY_NOW-WAP]",""
"passed","Sun Jul 31 15:50:18 CST 2022","Sun Jul 31 15:50:18 CST 2022","74","testcases.buyer","test_001_buy_now_api","TestBuyNowApi","","","test_buy_now_params[sku_id已删除-sku_id2-num2-expect_statuscode2-""004""-不合法]",""
"passed","Sun Jul 31 15:50:18 CST 2022","Sun Jul 31 15:50:18 CST 2022","100","testcases.buyer","test_001_buy_now_api","TestBuyNowApi","","","test_buy_now_params[num超过库存-sku_id5-num5-expect_statuscode5-""451""-商品库存已不足，不能购买。]",""
"failed","Sun Jul 31 15:50:17 CST 2022","Sun Jul 31 15:50:18 CST 2022","97","testcases.buyer","test_001_buy_now_api","TestBuyNowApi","","","test_buy_now_params[sku_id已下架-sku_id1-num1-expect_statuscode1-""004""-不合法]",""
"passed","Sun Jul 31 15:50:20 CST 2022","Sun Jul 31 15:50:20 CST 2022","309","testcases.buyer","test_002_create_trade_api","TestCreateTradeApi","","","test_create_trade[200-CART-NATIVE]",""
"passed","Sun Jul 31 15:50:17 CST 2022","Sun Jul 31 15:50:17 CST 2022","458","testcases.buyer","test_001_buy_now_api","TestBuyNowApi","","","test_buy_now_params[sku_id不存在-sku_id0-num0-expect_statuscode0-""004""-不合法]",""
"passed","Sun Jul 31 15:50:18 CST 2022","Sun Jul 31 15:50:18 CST 2022","92","testcases.buyer","test_001_buy_now_api","TestBuyNowApi","","","test_buy_now_params[num为-1-sku_id4-num4-expect_statuscode4-""004""-购买数量必须大于0]",""
